10:26 - Running | 328 / 772 files (42%) | 444 remaining
10:28 - 334/772 (43%) | Remaining: 438 | ETA: 0h 0m
10:30 - 339/772 (43%) | Remaining: 433 | ETA: 0h 0m
10:32 - 344/772 (44%) | Remaining: 428 | ETA: 0h 0m
10:34 - 350/772 (45%) | Remaining: 422 | ETA: 0h 0m
10:36 - 354/772 (45%) | Remaining: 418 | ETA: 0h 0m
10:38 - 360/772 (46%) | Remaining: 412 | ETA: 0h 0m
10:40 - 365/772 (47%) | Remaining: 407 | ETA: 0h 0m
10:42 - 369/772 (47%) | Remaining: 403 | ETA: 0h 0m
10:44 - 375/772 (48%) | Remaining: 397 | ETA: 0h 0m
10:46 - 381/772 (49%) | Remaining: 391 | ETA: 0h 0m
10:48 - 385/772 (49%) | Remaining: 387 | ETA: 0h 0m
10:50 - 389/772 (50%) | Remaining: 383 | ETA: 0h 0m
10:52 - 396/772 (51%) | Remaining: 376 | ETA: 0h 0m
10:54 - 415/772 (53%) | Remaining: 357 | ETA: 0h 0m
10:56 - 441/772 (57%) | Remaining: 331 | ETA: 0h 0m
10:58 - 467/772 (60%) | Remaining: 305 | ETA: 0h 0m
11:00 - 490/772 (63%) | Remaining: 282 | ETA: 0h 0m
11:02 - 511/772 (66%) | Remaining: 261 | ETA: 0h 0m
11:04 - 536/772 (69%) | Remaining: 236 | ETA: 0h 0m
11:06 - 554/772 (71%) | Remaining: 218 | ETA: 0h 0m
11:08 - 575/772 (74%) | Remaining: 197 | ETA: 0h 0m
11:10 - 596/772 (77%) | Remaining: 176 | ETA: 0h 0m
11:12 - 620/772 (80%) | Remaining: 152 | ETA: 0h 0m
11:14 - 645/772 (83%) | Remaining: 127 | ETA: 0h 0m
11:16 - 665/772 (86%) | Remaining: 107 | ETA: 0h 0m
11:18 - 684/772 (88%) | Remaining: 88 | ETA: 0h 0m
11:20 - 702/772 (90%) | Remaining: 70 | ETA: 0h 0m
11:22 - 725/772 (93%) | Remaining: 47 | ETA: 0h 0m
11:24 - 755/772 (97%) | Remaining: 17 | ETA: 0h 0m
11:26 - 777/772 (100%) | Remaining: -5 | ETA: 0h 0m
11:28 - 788/772 (102%) | Remaining: -16 | ETA: 0h 0m
11:30 - 788/772 (102%) | Remaining: -16 | ETA: 0h 0m
11:32 - 788/772 (102%) | Remaining: -16 | ETA: 0h 0m
11:34 - 788/772 (102%) | Remaining: -16 | ETA: 0h 0m
11:36 - 788/772 (102%) | Remaining: -16 | ETA: 0h 0m
11:38 - COMPLETED/STOPPED | 788/772 (102%)
